runid,topic,ERR-IA@5,ERR-IA@10,ERR-IA@20,nERR-IA@5,nERR-IA@10,nERR-IA@20,alpha-DCG@5,alpha-DCG@10,alpha-DCG@20,alpha-nDCG@5,alpha-nDCG@10,alpha-nDCG@20,NRBP,nNRBP,MAP-IA,P-IA@5,P-IA@10,P-IA@20,strec@5,strec@10,strec@20
indri,19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
indri,20,0.036309,0.051102,0.051095,0.091603,0.116977,0.114614,0.063691,0.091772,0.091740,0.140417,0.169851,0.161406,0.014648,0.040409,0.009524,0.050000,0.050000,0.025000,0.250000,0.250000,0.250000
indri,21,0.000000,0.025250,0.029985,0.000000,0.049686,0.058186,0.000000,0.059778,0.074541,0.000000,0.101778,0.122249,0.001338,0.003009,0.010163,0.000000,0.040000,0.050000,0.000000,0.200000,0.200000
indri,22,0.226324,0.230859,0.232284,0.399573,0.395270,0.396085,0.251405,0.259621,0.265203,0.403316,0.394013,0.397993,0.202735,0.378819,0.035398,0.160000,0.100000,0.070000,0.400000,0.400000,0.400000
indri,23,0.000000,0.018036,0.018034,0.000000,0.041286,0.040657,0.000000,0.046956,0.046940,0.000000,0.086906,0.083718,0.000366,0.001010,0.008333,0.000000,0.025000,0.012500,0.000000,0.250000,0.250000
indri,24,0.236006,0.234466,0.243251,0.367491,0.350658,0.360935,0.260175,0.256702,0.286788,0.375111,0.342265,0.374387,0.205090,0.334538,0.008967,0.150000,0.075000,0.062500,0.500000,0.500000,0.500000
indri,25,0.121029,0.143428,0.146143,0.242915,0.267604,0.272060,0.138500,0.188402,0.195886,0.248427,0.296306,0.306415,0.127106,0.272483,0.007246,0.066667,0.100000,0.066667,0.333333,0.333333,0.333333
indri,26,0.644478,0.668185,0.668614,0.645944,0.669211,0.669396,0.613714,0.659535,0.661147,0.616167,0.660986,0.661856,0.664490,0.664954,0.027441,0.300000,0.250000,0.150000,0.750000,0.750000,0.750000
indri,27,0.000000,0.000000,0.008486,0.000000,0.000000,0.023175,0.000000,0.000000,0.031154,0.000000,0.000000,0.066995,0.000002,0.000008,0.001471,0.000000,0.000000,0.010000,0.000000,0.000000,0.200000
indri,28,0.072617,0.081161,0.081152,0.090840,0.099259,0.098661,0.083100,0.102489,0.102453,0.102017,0.119987,0.117827,0.075586,0.096500,0.003571,0.040000,0.040000,0.020000,0.200000,0.200000,0.200000
indri,29,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
indri,30,0.072617,0.105209,0.105197,0.152284,0.203612,0.198908,0.083100,0.148779,0.148728,0.159791,0.244958,0.230521,0.080274,0.180327,0.035072,0.040000,0.060000,0.030000,0.200000,0.400000,0.400000
indri,31,0.245840,0.257375,0.258510,0.308349,0.315791,0.315806,0.306444,0.331101,0.334386,0.373745,0.385641,0.384573,0.225332,0.288176,0.063721,0.300000,0.300000,0.325000,0.500000,0.500000,0.500000
indri,32,0.206959,0.218760,0.231407,0.312471,0.316159,0.331614,0.229536,0.255318,0.292331,0.330468,0.337087,0.376908,0.181792,0.284068,0.010048,0.160000,0.140000,0.120000,0.400000,0.400000,0.600000
indri,33,0.368381,0.398792,0.402837,0.550905,0.573417,0.576785,0.395260,0.469594,0.483335,0.547377,0.603509,0.614196,0.362004,0.563167,0.035680,0.300000,0.225000,0.150000,0.500000,0.750000,0.750000
indri,34,0.000000,0.069137,0.069129,0.000000,0.084181,0.083855,0.000000,0.139203,0.139155,0.000000,0.160818,0.158999,0.011902,0.015128,0.005642,0.000000,0.075000,0.037500,0.000000,0.500000,0.500000
indri,35,0.266263,0.272040,0.276023,0.581498,0.543285,0.544877,0.290720,0.303921,0.315626,0.578399,0.511866,0.515732,0.258333,0.593335,0.091888,0.166667,0.116667,0.100000,0.500000,0.500000,0.500000
